"year","total_attacks"
"1972","2"
"1975","4"
"1976","2"
"1977","4"
"1979","38"
"1980","18"
"1981","30"
"1982","30"
"1983","94"
"1984","304"
"1985","70"
"1986","190"
"1987","320"
"1988","648"
"1989","592"
"1990","678"
"1991","666"
"1992","472"
"1994","212"
"1995","342"
"1996","428"
"1997","358"
"1998","224"
"1999","418"
"2000","720"
"2001","936"
"2002","732"
"2003","784"
"2004","432"
"2005","584"
"2006","664"
"2007","600"
"2008","2136"
"2009","2688"
"2010","2652"
"2011","2580"
"2012","2452"
"2013","2776"
"2014","3436"
"2015","3540"
"2016","4100"
"2017","3860"
"2018","3552"
"2019","2488"
"2020","1800"
