"country","avg_casualties"
"Chad","31.019607843137255"
"Kuwait","28.2"
"Belarus","22.5"
"Angola","20.91810344827586"
"Ethiopia","17.21024258760108"
"Morocco","16.214285714285715"
"Uzbekistan","14.833333333333334"
"United States","14.655471004985568"
"South Sudan","14.207705192629815"
"Norway","13.041666666666666"
"International","13.0"
"Hong Kong","12.8"
"China","12.68208092485549"
"Guinea","12.58974358974359"
"Rwanda","12.566666666666666"
"Sri Lanka","12.250961010433828"
"Syria","12.208389715832206"
"Niger","12.117782909930716"
"Central African Republic","11.161931818181818"
"Kenya","10.898015058179329"
"Iran","10.780898876404494"
"Sierra Leone","10.631578947368421"
"Madagascar","10.076923076923077"
"Belgium","10.028985507246377"
"Uganda","9.749435665914222"
"Republic of the Congo","9.065217391304348"
"Iraq","8.049022116614879"
"Moldova","7.8"
"Nigeria","7.702633814783347"
"Afghanistan","7.152599128308706"
"St. Lucia","7.0"
"Jordan","6.865384615384615"
"Djibouti","6.75"
"Burundi","6.579617834394904"
"Eritrea","6.571428571428571"
"Tajikistan","6.477777777777778"
"Namibia","6.466666666666667"
"Burkina Faso","6.384925975773889"
"Lebanon","6.299769408147578"
"Algeria","6.094429347826087"
"Democratic Republic of the Congo","6.019374575118967"
"Spain","5.936373276776246"
"Sudan","5.935774946921444"
"Mauritania","5.75"
"Russia","5.747611464968153"
"Ivory Coast","5.682170542635659"
"Cameroon","5.610108303249097"
"Tunisia","5.551587301587301"
"Maldives","5.509433962264151"
"Mali","5.486899563318778"
"Tanzania","5.413793103448276"
"South Korea","5.230769230769231"
"Turkey","5.06390243902439"
"Senegal","5.025316455696203"
"Indonesia","4.747692307692308"
"Pakistan","4.6763279700242455"
"Israel","4.659455128205129"
"Somalia","4.651398708884107"
"Yemen","4.584541492484212"
"Laos","4.470588235294118"
"Zimbabwe","4.2388059701492535"
"Bolivia","4.2105263157894735"
"New Zealand","4.163265306122449"
"Guinea-Bissau","4.0625"
"Nicaragua","4.037037037037037"
"Equatorial Guinea","4.0"
"Qatar","4.0"
"Peru","3.9302325581395348"
"Egypt","3.8195763330898465"
"Latvia","3.789473684210526"
"Turkmenistan","3.6666666666666665"
"Saudi Arabia","3.3954154727793697"
"Colombia","3.3314638250140214"
"India","3.314926695666183"
"Azerbaijan","3.3"
"Mozambique","3.260633484162896"
"Honduras","3.2432432432432434"
"Bangladesh","3.213820078226858"
"Myanmar","3.2030505243088654"
"Mexico","3.1122994652406417"
"Guyana","3.081081081081081"
"Fiji","3.0"
"Venezuela","2.993939393939394"
"Cambodia","2.9838709677419355"
"Ukraine","2.96979378449027"
"Nepal","2.869069510849577"
"Libya","2.8315264527320037"
"Georgia","2.7427385892116183"
"France","2.6452795600366636"
"Canada","2.6058823529411765"
"Bhutan","2.6"
"Thailand","2.563682727150718"
"Macau","2.5"
"Philippines","2.422565636424061"
"Yugoslavia","2.3214285714285716"
"Kosovo","2.2872340425531914"
"Bulgaria","2.1904761904761907"
"Kazakhstan","2.130434782608696"
"Gambia","2.0"
"Ghana","1.9696969696969697"
"Liberia","1.9259259259259258"
"Guatemala","1.9069767441860466"
"West Bank and Gaza Strip","1.8326797385620914"
"Slovak Republic","1.8181818181818181"
"South Africa","1.8081264108352144"
"Haiti","1.7857142857142858"
"Finland","1.7560975609756098"
"Taiwan","1.7142857142857142"
"United Kingdom","1.6993930739021779"
"East Timor","1.6428571428571428"
"Austria","1.5517241379310345"
"Switzerland","1.5490196078431373"
"Croatia","1.5"
"Dominican Republic","1.5"
"Ecuador","1.4690265486725664"
"Czech Republic","1.435897435897436"
"Trinidad and Tobago","1.4"
"Germany","1.3471502590673574"
"Benin","1.3333333333333333"
"Lesotho","1.3333333333333333"
"Japan","1.302325581395349"
"Armenia","1.2903225806451613"
"Denmark","1.28"
"Bahrain","1.2"
"Bosnia-Herzegovina","1.1555555555555554"
"Serbia","1.1111111111111112"
"Solomon Islands","1.0"
"Uruguay","1.0"
"Romania","1.0"
"Cuba","1.0"
"Western Sahara","1.0"
"Kyrgyzstan","1.0"
"Brazil","0.9893617021276596"
"Paraguay","0.9819277108433735"
"Macedonia","0.9345794392523364"
"Netherlands","0.8551724137931035"
"Australia","0.8521739130434782"
"Gabon","0.8"
"Albania","0.717391304347826"
"Serbia-Montenegro","0.7142857142857143"
"Cyprus","0.6956521739130435"
"Malaysia","0.6640625"
"Poland","0.6363636363636364"
"Hungary","0.631578947368421"
"Sweden","0.6230366492146597"
"Italy","0.5858895705521472"
"Jamaica","0.5714285714285714"
"United Arab Emirates","0.4444444444444444"
"Swaziland","0.42857142857142855"
"Estonia","0.42857142857142855"
"Montenegro","0.4"
"Chile","0.35891647855530473"
"Comoros","0.3333333333333333"
"Argentina","0.3116883116883117"
"Papua New Guinea","0.3"
"Panama","0.2857142857142857"
"Malawi","0.25"
"Zambia","0.25"
"Costa Rica","0.2"
"Greece","0.17304860088365243"
"Ireland","0.14450867052023122"
"Vietnam","0.14285714285714285"
"Malta","0.1111111111111111"
"Bahamas","0.0"
"Brunei","0.0"
"Togo","0.0"
"New Caledonia","0.0"
"Belize","0.0"
"Iceland","0.0"
"Dominica","0.0"
"People's Republic of the Congo","0.0"
"Zaire","0.0"
"Slovenia","0.0"
"Portugal","0.0"
"Lithuania","0.0"
