"eventid","city","country","date","attack_type","group","casualties","severity","source_file","matched_entities","file_name","fps","frame_count","duration_sec","resolution","year"
"199711070007","Dhalai district","India","1997-11-07","Bombing/Explosion","National Liberation Front of Tripura (NLFT)","20","High","incident.txt","2022 | Pakistan | 5 | 12 | 2022 | Kabul | Afghanistan | Taliban | 10 | 18 | 2022 | Baghdad | Iraq | 20 | 2022-07-18 | Damascus | Syria | Airstrike Group: Unknown Fatalities | 14 | 30 | bomb | attack | explosion","vid2.mp4","30.0","461","15.37","1920x1080","1997"
"199706060001","Pathankot","India","1997-06-06","Bombing/Explosion","Unidentified","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid2.mp4","30.0","461","15.37","1920x1080","1997"
"199702270003","Lahore","Pakistan","1997-02-27","Bombing/Explosion","Unidentified","20","High","incident.txt","2022 | Pakistan | 5 | 12 | 2022 | Kabul | Afghanistan | Taliban | 10 | 18 | 2022 | Baghdad | Iraq | 20 | 2022-07-18 | Damascus | Syria | Airstrike Group: Unknown Fatalities | 14 | 30 | bomb | attack | explosion","vid1.mp4","29.97","504","16.82","1920x1080","1997"
"199201230007","Jalandhar","India","1992-01-23","Armed Assault","Sikh Extremists","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid1.mp4","29.97","504","16.82","1920x1080","1992"
"199201230007","Jalandhar","India","1992-01-23","Armed Assault","Sikh Extremists","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid2.mp4","30.0","461","15.37","1920x1080","1992"
"199203140004","Ludhiana","India","1992-03-14","Assassination","Sikh Extremists","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid1.mp4","29.97","504","16.82","1920x1080","1992"
"199201190010","Srinagar","India","1992-01-19","Bombing/Explosion","Muslim Militants","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid2.mp4","30.0","461","15.37","1920x1080","1992"
"199201190010","Srinagar","India","1992-01-19","Bombing/Explosion","Muslim Militants","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid1.mp4","29.97","504","16.82","1920x1080","1992"
"198603280005","Ludhiana","India","1986-03-28","Armed Assault","Sikh Extremists","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid2.mp4","30.0","461","15.37","1920x1080","1986"
"198603290007","Jalandhar","India","1986-03-29","Armed Assault","Sikh Extremists","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid1.mp4","29.97","504","16.82","1920x1080","1986"
"198605250013","Padavi Sripura","Sri Lanka","1986-05-25","Armed Assault","Liberation Tigers of Tamil Eelam (LTTE)","20","High","news.txt","Kabul | Afghanistan | March 15  2022 | hours | Taliban | At least 12 | more than 25 | Baghdad | Iraq | 8 | ISIS | Mumbai | India | two | Syria | Aleppo | 15 | over 40 | bomb | attack | explosion | terrorist | militant","vid2.mp4","30.0","461","15.37","1920x1080","1986"
