"year","total_attacks"
"1970","1382"
"1971","512"
"1972","400"
"1973","104"
"1974","200"
"1975","138"
"1976","168"
"1977","82"
"1978","188"
"1979","224"
"1980","264"
"1981","292"
"1982","242"
"1983","218"
"1984","504"
"1985","186"
"1986","406"
"1987","554"
"1988","906"
"1989","842"
"1990","956"
"1991","1180"
"1992","976"
"1994","724"
"1995","1850"
"1996","944"
"1997","940"
"1998","3428"
"1999","4736"
"2000","6736"
"2001","7328"
"2002","4940"
"2003","4772"
"2004","4394"
"2005","7698"
"2006","10486"
"2007","12100"
"2008","19008"
"2009","17788"
"2010","18698"
"2011","19854"
"2012","32488"
"2013","45494"
"2014","64392"
"2015","60124"
"2016","54570"
"2017","43958"
"2018","39172"
"2019","32932"
"2020","32538"
